University,Topic,Question,Expected_Answer
Kurukshetra University,Facilities,What are the library timings for Kurukshetra University?,The library timings for Kurukshetra University are 8:00 AM to 8:00 PM.
Kurukshetra University,Academics,What is the attendance rule at Kurukshetra University?,The attendance rule at Kurukshetra University is Minimum 75% attendance mandatory.
Kumaraguru College of Technology,Fees,What is the tuition fee for Kumaraguru College of Technology?,The tuition fee for Kumaraguru College of Technology is 58754 per semester.
Kumaraguru College of Technology,Placements,What is the highest placement package at Kumaraguru College of Technology?,The highest placement package at Kumaraguru College of Technology is 39.1 Lakh Per Annum.
Kumaraguru College of Technology,Facilities,Does Kumaraguru College of Technology have a hostel and what is the fee?,"Yes, Kumaraguru College of Technology has a hostel for both boys and girls. The fee is 68043 and the mess fee is 27646."
Kumaraguru College of Technology,Facilities,What are the library timings for Kumaraguru College of Technology?,The library timings for Kumaraguru College of Technology are 8:00 AM to 8:00 PM.
Kumaraguru College of Technology,Academics,What is the attendance rule at Kumaraguru College of Technology?,The attendance rule at Kumaraguru College of Technology is Minimum 75% attendance mandatory.
Kumaun University,Fees,What is the tuition fee for Kumaun University?,The tuition fee for Kumaun University is 97016 per semester.
Kumaun University,Placements,What is the highest placement package at Kumaun University?,The highest placement package at Kumaun University is 32.9 Lakh Per Annum.
Kumaun University,Facilities,Does Kumaun University have a hostel and what is the fee?,"Yes, Kumaun University has a hostel for both boys and girls. The fee is 47568 and the mess fee is 43243."
Kumaun University,Facilities,What are the library timings for Kumaun University?,The library timings for Kumaun University are 8:00 AM to 8:00 PM.
Kumaun University,Academics,What is the attendance rule at Kumaun University?,The attendance rule at Kumaun University is Minimum 75% attendance mandatory.
Kuvempu University,Fees,What is the tuition fee for Kuvempu University?,The tuition fee for Kuvempu University is 98911 per semester.
Kuvempu University,Placements,What is the highest placement package at Kuvempu University?,The highest placement package at Kuvempu University is 23.9 Lakh Per Annum.
Kuvempu University,Facilities,Does Kuvempu University have a hostel and what is the fee?,"Yes, Kuvempu University has a hostel for both boys and girls. The fee is 71260 and the mess fee is 28971."
Kuvempu University,Facilities,What are the library timings for Kuvempu University?,The library timings for Kuvempu University are 8:00 AM to 8:00 PM.
Kuvempu University,Academics,What is the attendance rule at Kuvempu University?,The attendance rule at Kuvempu University is Minimum 75% attendance mandatory.
Kakatiya University,Fees,What is the tuition fee for Kakatiya University?,The tuition fee for Kakatiya University is 41822 per semester.
Kakatiya University,Placements,What is the highest placement package at Kakatiya University?,The highest placement package at Kakatiya University is 25.4 Lakh Per Annum.
Kakatiya University,Facilities,Does Kakatiya University have a hostel and what is the fee?,"Yes, Kakatiya University has a hostel for both boys and girls. The fee is 65150 and the mess fee is 35621."
Kakatiya University,Facilities,What are the library timings for Kakatiya University?,The library timings for Kakatiya University are 8:00 AM to 8:00 PM.
Kakatiya University,Academics,What is the attendance rule at Kakatiya University?,The attendance rule at Kakatiya University is Minimum 75% attendance mandatory.
L.D.College of Engineering,Fees,What is the tuition fee for L.D.College of Engineering?,The tuition fee for L.D.College of Engineering is 58833 per semester.
L.D.College of Engineering,Placements,What is the highest placement package at L.D.College of Engineering?,The highest placement package at L.D.College of Engineering is 44.3 Lakh Per Annum.
L.D.College of Engineering,Facilities,Does L.D.College of Engineering have a hostel and what is the fee?,"Yes, L.D.College of Engineering has a hostel for both boys and girls. The fee is 60230 and the mess fee is 25613."
L.D.College of Engineering,Facilities,What are the library timings for L.D.College of Engineering?,The library timings for L.D.College of Engineering are 8:00 AM to 8:00 PM.
L.D.College of Engineering,Academics,What is the attendance rule at L.D.College of Engineering?,The attendance rule at L.D.College of Engineering is Minimum 75% attendance mandatory.
Lakshmibai National Institute of Physical Education,Fees,What is the tuition fee for Lakshmibai National Institute of Physical Education?,The tuition fee for Lakshmibai National Institute of Physical Education is 115206 per semester.
Lakshmibai National Institute of Physical Education,Placements,What is the highest placement package at Lakshmibai National Institute of Physical Education?,The highest placement package at Lakshmibai National Institute of Physical Education is 15.1 Lakh Per Annum.
Lakshmibai National Institute of Physical Education,Facilities,Does Lakshmibai National Institute of Physical Education have a hostel and what is the fee?,"Yes, Lakshmibai National Institute of Physical Education has a hostel for both boys and girls. The fee is 54851 and the mess fee is 40669."
Lakshmibai National Institute of Physical Education,Facilities,What are the library timings for Lakshmibai National Institute of Physical Education?,The library timings for Lakshmibai National Institute of Physical Education are 8:00 AM to 8:00 PM.
Lakshmibai National Institute of Physical Education,Academics,What is the attendance rule at Lakshmibai National Institute of Physical Education?,The attendance rule at Lakshmibai National Institute of Physical Education is Minimum 75% attendance mandatory.
Lalit Narayan Mithila University,Fees,What is the tuition fee for Lalit Narayan Mithila University?,The tuition fee for Lalit Narayan Mithila University is 115352 per semester.
Lalit Narayan Mithila University,Placements,What is the highest placement package at Lalit Narayan Mithila University?,The highest placement package at Lalit Narayan Mithila University is 37.8 Lakh Per Annum.
Lalit Narayan Mithila University,Facilities,Does Lalit Narayan Mithila University have a hostel and what is the fee?,"Yes, Lalit Narayan Mithila University has a hostel for both boys and girls. The fee is 56948 and the mess fee is 28130."
Lalit Narayan Mithila University,Facilities,What are the library timings for Lalit Narayan Mithila University?,The library timings for Lalit Narayan Mithila University are 8:00 AM to 8:00 PM.
Lalit Narayan Mithila University,Academics,What is the attendance rule at Lalit Narayan Mithila University?,The attendance rule at Lalit Narayan Mithila University is Minimum 75% attendance mandatory.
University of Lucknow,Fees,What is the tuition fee for University of Lucknow?,The tuition fee for University of Lucknow is 57003 per semester.
University of Lucknow,Placements,What is the highest placement package at University of Lucknow?,The highest placement package at University of Lucknow is 30.9 Lakh Per Annum.
University of Lucknow,Facilities,Does University of Lucknow have a hostel and what is the fee?,"Yes, University of Lucknow has a hostel for both boys and girls. The fee is 54704 and the mess fee is 37190."
University of Lucknow,Facilities,What are the library timings for University of Lucknow?,The library timings for University of Lucknow are 8:00 AM to 8:00 PM.
University of Lucknow,Academics,What is the attendance rule at University of Lucknow?,The attendance rule at University of Lucknow is Minimum 75% attendance mandatory.
Mar Athanasios College for Advanced Studies,Fees,What is the tuition fee for Mar Athanasios College for Advanced Studies?,The tuition fee for Mar Athanasios College for Advanced Studies is 97355 per semester.
Mar Athanasios College for Advanced Studies,Placements,What is the highest placement package at Mar Athanasios College for Advanced Studies?,The highest placement package at Mar Athanasios College for Advanced Studies is 29.6 Lakh Per Annum.
Mar Athanasios College for Advanced Studies,Facilities,Does Mar Athanasios College for Advanced Studies have a hostel and what is the fee?,"Yes, Mar Athanasios College for Advanced Studies has a hostel for both boys and girls. The fee is 84357 and the mess fee is 38188."
Mar Athanasios College for Advanced Studies,Facilities,What are the library timings for Mar Athanasios College for Advanced Studies?,The library timings for Mar Athanasios College for Advanced Studies are 8:00 AM to 8:00 PM.
Mar Athanasios College for Advanced Studies,Academics,What is the attendance rule at Mar Athanasios College for Advanced Studies?,The attendance rule at Mar Athanasios College for Advanced Studies is Minimum 75% attendance mandatory.
